object_type,n,k,trial,instance_seed,r,rho,hidden_line_count,approx_lines,exact_lines,line_count_ratio,exact_match,approx_runtime_seconds,exact_runtime_seconds,candidate_lines,graph_nodes,graph_edges,exact_candidates,exact_combinations_checked,maximum_realised_distance
disk,6,2,3,653908330,1.5,0.8,2,2,2,1.0,True,5.920801777392626e-05,0.00010729103814810514,7,7,6,15,80,1.3370287246403707
disk,6,2,4,2052231052,1.5,0.8,2,2,2,1.0,True,5.837494973093271e-05,0.00010437506716698408,6,6,4,16,56,1.2915628250217057
disk,6,2,5,1206495739,1.5,0.8,2,2,2,1.0,True,5.1166978664696217e-05,0.00010379205923527479,5,5,4,16,42,1.2713506487826887
disk,6,2,6,328173148,1.5,0.8,2,2,2,1.0,True,5.53749268874526e-05,0.00010183395352214575,5,5,4,19,42,1.1578347094060584
disk,6,2,7,522493129,1.5,0.8,2,2,2,1.0,True,5.504104774445295e-05,0.00010866706725209951,5,5,4,17,95,0.5595371626016614
disk,6,2,8,1325036995,1.5,0.8,2,2,2,1.0,True,5.879101809114218e-05,0.00010233407374471426,7,7,5,15,38,1.2236692906879483
disk,6,2,9,30318306,1.5,0.8,2,2,2,1.0,True,6.358290556818247e-05,0.00010220799595117569,5,5,4,18,31,1.0517676065320767
disk,6,2,10,1893979360,1.5,0.8,2,3,2,1.5,False,5.316606257110834e-05,0.00010100007057189941,6,6,6,17,52,1.2063129010208555
disk,6,2,11,115431103,1.5,0.8,2,2,2,1.0,True,5.337502807378769e-05,0.00010220799595117569,5,5,4,16,50,1.0222922307012439
disk,6,2,12,903758721,1.5,0.8,2,4,2,2.0,False,6.324995774775743e-05,0.00010599999222904444,8,8,6,11,60,1.2802530799341898
disk,6,2,13,476983336,1.5,0.8,2,2,2,1.0,True,6.454100366681814e-05,0.00010141695383936167,6,6,4,16,36,0.2678520027924154
disk,6,2,14,4614572,1.5,0.8,2,2,2,1.0,True,0.00011537503451108932,0.00012750003952533007,7,7,6,16,119,0.7791870278012591
disk,6,3,0,1989670718,1.5,0.8,3,3,2,1.5,False,5.608296487480402e-05,8.650007657706738e-05,7,7,6,16,67,1.0298704385457709
disk,6,3,1,492346385,1.5,0.8,3,2,2,1.0,True,4.412501584738493e-05,8.237501606345177e-05,5,5,5,18,56,1.1020855564133425
disk,6,3,2,1281054193,1.5,0.8,3,3,2,1.5,False,4.254200030118227e-05,0.00015412503853440285,6,6,4,18,46,1.142017412133019
disk,6,3,3,1193839063,1.5,0.8,3,3,2,1.5,False,5.312496796250343e-05,0.0002472499618306756,7,7,5,18,40,1.4251339262590992
disk,6,3,4,1828658646,1.5,0.8,3,3,3,1.0,True,5.1625072956085205e-05,0.0001159169478341937,7,7,5,12,149,1.0195123026545534
disk,6,3,5,1431779142,1.5,0.8,3,4,2,2.0,False,4.9208989366889e-05,8.858402725309134e-05,8,8,5,15,114,0.8648389084404762
disk,6,3,6,288700620,1.5,0.8,3,3,2,1.5,False,4.9625057727098465e-05,0.00017083296552300453,7,7,6,15,113,1.283949196082743
disk,6,3,7,566881468,1.5,0.8,3,2,2,1.0,True,5.595805123448372e-05,8.979195263236761e-05,5,5,5,18,71,1.362518587355633
disk,6,3,8,1924882459,1.5,0.8,3,3,2,1.5,False,5.2458024583756924e-05,8.358305785804987e-05,7,7,5,17,67,1.2467626883226923
disk,6,3,9,1979874533,1.5,0.8,3,3,2,1.5,False,4.2750034481287e-05,0.00010208296589553356,7,7,5,14,43,1.2670670231956478
disk,6,3,10,74246941,1.5,0.8,3,2,2,1.0,True,4.2500090785324574e-05,7.950002327561378e-05,6,6,5,16,50,1.225617943462949
disk,6,3,11,1500181991,1.5,0.8,3,3,2,1.5,False,4.2499974370002747e-05,8.558400440961123e-05,6,6,5,14,82,1.4335566341080443
disk,6,3,12,1429022537,1.5,0.8,3,3,3,1.0,True,5.0709000788629055e-05,0.00010183302219957113,7,7,6,15,249,1.182730801839653
disk,6,3,13,1632492277,1.5,0.8,3,3,3,1.0,True,4.3332925997674465e-05,0.00010208401363343,6,6,6,14,270,1.4146545284494383
disk,6,3,14,2011968730,1.5,0.8,3,2,2,1.0,True,4.4625019654631615e-05,8.720799814909697e-05,6,6,5,16,129,0.0
