object_type,distribution,n,repeat,instance_seed,k,r,rho,runtime_seconds,wall_time_seconds,selected_lines,candidate_vertical_count,candidate_horizontal_count,graph_nodes,graph_edges,matching_backend
disk,uniform,250,0,1602693582,25,2.0,0.8,0.00044845801312476397,0.0005151249933987856,19,19,19,38,172,builtin
disk,uniform,250,1,1077138916,25,2.0,0.8,0.00044595799408853054,0.0005216660210862756,19,19,19,38,184,builtin
disk,uniform,250,2,2096425352,25,2.0,0.8,0.0004158749943599105,0.00048233300913125277,19,19,19,38,175,builtin
disk,uniform,250,3,278340782,25,2.0,0.8,0.0004325420595705509,0.0005089169135317206,19,19,19,38,177,builtin
disk,uniform,250,4,644406864,25,2.0,0.8,0.00042225001379847527,0.0004893330624327064,19,19,19,38,171,builtin
disk,uniform,250,5,1397393659,25,2.0,0.8,0.0004117080243304372,0.00048625003546476364,19,19,19,38,184,builtin
disk,uniform,250,6,477481333,25,2.0,0.8,0.0004240840207785368,0.0004877500468865037,19,19,19,38,177,builtin
disk,uniform,500,0,601267139,25,2.0,0.8,0.0007530410075560212,0.0008639589650556445,19,19,19,38,256,builtin
disk,uniform,500,1,896794355,25,2.0,0.8,0.0006057500140741467,0.0006853749509900808,19,19,19,38,259,builtin
disk,uniform,500,2,106020792,25,2.0,0.8,0.0005757500184699893,0.000665250001475215,19,19,19,38,270,builtin
disk,uniform,500,3,510582912,25,2.0,0.8,0.0005930420011281967,0.0006707079010084271,19,19,19,38,262,builtin
disk,uniform,500,4,908077556,25,2.0,0.8,0.0010089169954881072,0.001094458973966539,19,19,19,38,261,builtin
disk,uniform,500,5,884249108,25,2.0,0.8,0.0005604160251095891,0.0006375840166583657,19,19,19,38,258,builtin
disk,uniform,500,6,45184177,25,2.0,0.8,0.0005556659307330847,0.0006307080620899796,19,19,19,38,271,builtin
disk,uniform,1000,0,935097146,25,2.0,0.8,0.0010034170700237155,0.00111241708509624,19,19,19,38,330,builtin
disk,uniform,1000,1,532808718,25,2.0,0.8,0.0010043749352917075,0.0011183329625055194,19,19,19,38,320,builtin
disk,uniform,1000,2,1267760062,25,2.0,0.8,0.0009134589927271008,0.0010207920568063855,19,19,19,38,325,builtin
disk,uniform,1000,3,1628040450,25,2.0,0.8,0.0010020419722422957,0.001115916995331645,19,19,19,38,329,builtin
disk,uniform,1000,4,621578997,25,2.0,0.8,0.0008990420028567314,0.0010038750478997827,19,19,19,38,313,builtin
disk,uniform,1000,5,1597381186,25,2.0,0.8,0.0013049589470028877,0.001432292046956718,19,19,19,38,330,builtin
disk,uniform,1000,6,1335484779,25,2.0,0.8,0.0010306660551577806,0.0011533750221133232,19,19,19,38,324,builtin
disk,uniform,2000,0,693622058,25,2.0,0.8,0.002156791975721717,0.0026309590321034193,19,19,19,38,352,builtin
disk,uniform,2000,1,1205151056,25,2.0,0.8,0.0019503330113366246,0.002157583017833531,19,19,19,38,355,builtin
disk,uniform,2000,2,483594872,25,2.0,0.8,0.002158207935281098,0.0024025000166147947,19,19,19,38,352,builtin
disk,uniform,2000,3,1926037547,25,2.0,0.8,0.0020517499651759863,0.0022631670581176877,19,19,19,38,357,builtin
disk,uniform,2000,4,630779181,25,2.0,0.8,0.0019771249499171972,0.0022012090776115656,19,19,19,38,359,builtin
disk,uniform,2000,5,1909540655,25,2.0,0.8,0.002541291993111372,0.003839291981421411,19,19,19,38,353,builtin
disk,uniform,2000,6,1300852654,25,2.0,0.8,0.005519083933904767,0.006063291919417679,19,19,19,38,352,builtin
disk,uniform,5000,0,895056709,25,2.0,0.8,0.010214125039055943,0.010988167021423578,19,19,19,38,361,builtin
disk,uniform,5000,1,277565753,25,2.0,0.8,0.011928999912925065,0.014216208015568554,19,19,19,38,361,builtin
disk,uniform,5000,2,1486016765,25,2.0,0.8,0.01352549996227026,0.015777625027112663,19,19,19,38,361,builtin
disk,uniform,5000,3,1589947701,25,2.0,0.8,0.007020207936875522,0.007979457965120673,19,19,19,38,361,builtin
disk,uniform,5000,4,1289755658,25,2.0,0.8,0.009735791012644768,0.012571958010084927,19,19,19,38,361,builtin
disk,uniform,5000,5,98036650,25,2.0,0.8,0.006649999995715916,0.007470165961422026,19,19,19,38,361,builtin
disk,uniform,5000,6,1699063932,25,2.0,0.8,0.006436791969463229,0.007787749986164272,19,19,19,38,360,builtin
disk,clustered,100,0,824594307,25,2.0,0.8,0.00021720805671066046,0.0003142920322716236,8,8,12,20,43,builtin
disk,clustered,100,1,2060981975,25,2.0,0.8,0.0001770419767126441,0.00021795800421386957,9,9,13,22,42,builtin
disk,clustered,100,2,121205456,25,2.0,0.8,0.0001794580603018403,0.0002235829597339034,11,12,11,23,37,builtin
disk,clustered,100,3,1625838254,25,2.0,0.8,0.0002048340393230319,0.0002467499580234289,7,7,12,19,44,builtin
disk,clustered,100,4,326075090,25,2.0,0.8,0.00017395801842212677,0.00021870899945497513,13,14,13,27,46,builtin
disk,clustered,100,5,76559464,25,2.0,0.8,0.00016987498383969069,0.00020866701379418373,12,14,12,26,48,builtin
disk,clustered,100,6,425596216,25,2.0,0.8,0.00016016699373722076,0.0001984999980777502,13,13,14,27,41,builtin
disk,clustered,250,0,1139028784,25,2.0,0.8,0.0003132499987259507,0.00036708300467580557,12,12,16,28,66,builtin
disk,clustered,250,1,729273152,25,2.0,0.8,0.00028899998869746923,0.00034016696736216545,10,10,12,22,56,builtin
disk,clustered,250,2,755426960,25,2.0,0.8,0.00029854197055101395,0.00035208300687372684,8,9,8,17,51,builtin
disk,clustered,250,3,1947307494,25,2.0,0.8,0.0003449579235166311,0.0004033340374007821,11,15,11,26,67,builtin
disk,clustered,250,4,1451457432,25,2.0,0.8,0.0008407080313190818,0.0010753748938441277,11,11,15,26,66,builtin
disk,clustered,250,5,1062314714,25,2.0,0.8,0.0004460839554667473,0.0005323750665411353,13,14,13,27,66,builtin
disk,clustered,250,6,1329862657,25,2.0,0.8,0.0003495418932288885,0.00041133398190140724,11,11,12,23,70,builtin
disk,clustered,500,0,1836148614,25,2.0,0.8,0.0006197079783305526,0.0007095419568940997,12,15,12,27,81,builtin
disk,clustered,500,1,728102958,25,2.0,0.8,0.001214458025060594,0.0015014579985290766,11,11,15,26,81,builtin
